Club,Elo,Country
ΟΦΗ,1282,GRE
Stabæk,1280,NOR
Колос,1280,UKR
Craiova 1948,1278,ROM
Lausanne Ouchy,1278,SUI
Ruch,1275,POL
Istra 1961,1275,CRO
Varazdin,1275,CRO
Чорноморець,1274,UKR
Λαμία,1273,GRE
Ceské Budejovice,1270,CZE
Олександрія,1269,UKR
Universitatea Cluj,1269,ROM
Dundee,1264,SCO
Lustenau,1264,AUT
Petrolul Ploiesti,1263,ROM
Арда,1262,BUL
Voluntari,1260,ROM
Karvina,1258,CZE
St Johnstone,1256,SCO
Փյունիկ,1255,ARM
Оболонь,1255,UKR
UTA Arad,1254,ROM
הפועל פתח תקווה,1251,ISR
Kisvarda,1250,HUN
Cukaricki,1249,SRB
Тобыл,1249,KAZ
БАТЭ,1249,BLR
Koper,1246,SVN
Ақтөбе,1245,KAZ
Mezokovesd-Zsory,1245,HUN
Željezničar,1245,BHZ
Πανσερραϊκός,1244,GRE
Újpest,1244,HUN
Ботев Пловдив,1242,BUL
MTK,1242,HUN
LNZ,1241,UKR
Дынама Мiнск,1241,BLR
Βόλος,1240,GRE
Ордабасы,1240,KAZ
Mura,1240,SVN
הפועל חדרה,1240,ISR
FK Sarajevo,1239,BHZ
Novi Sad,1239,SRB
Diósgyőr,1235,HUN
Halmstad,1235,SWE
Metalist 1925,1234,UKR
LKS,1234,POL
Oțelul Galați,1234,ROM
מכבי פתח תקווה,1234,ISR
Příbram,1233,CZE
Domžale,1229,SVN
RFS,1225,LAT
Akureyri,1224,ISL
Shkendija,1223,MAC
Petrocub,1219,MOL
Brommapojkarna,1217,SWE
Zalaegerszeg,1216,HUN
Honka Espoo,1215,FIN
Víkingur,1215,ISL
Γιάννινα,1214,GRE
Ross County,1214,SCO
Верес,1213,UKR
Bravo,1212,SVN
Iasi,1211,ROM
Zimbru,1211,MOL
Zalgiris Vilnius,1210,LIT
Haka,1208,FIN
Drita,1207,KOS
Degerfors,1205,SWE
Славия София,1203,BUL
Breiðablik,1202,ISL
Botosani,1201,ROM
Ալաշկերտ,1201,ARM
Ballkani,1200,KOS
Aalesund,1200,NOR
Milsami,1198,MOL
Partizani Tirana,1198,ALB
დილა გორი,1195,GEO
Derry City,1194,IRL
Παναιτωλικός,1194,GRE
Auda,1190,LAT
Livingston,1190,SCO
Borac Banja Luka,1190,BHZ
ბათუმის დინამო,1178,GEO
Mynai,1178,UKR
